Year,Fanning Springs,Ichetucknee Springs,Manatee Springs,Combined
2000-01,231434,188401,136315,556150
2001-02,241034,188845,138502,568381
2002-03,230642,173755,129149,533546
2003-04,249565,162385,129661,541611
2004-05,203387,130631,106741,440759
2005-06,218450,167629,127338,513417
2006-07,281346,181387,134110,596843
2007-08,346885,188776,133879,669540
2008-09,315226,161990,143434,620650
2009-10,304646,184151,149659,638456
2010-11,285016,204586,148727,638329
2011-12,214743,148213,137504,500460
2012-13,166133,135923,146831,448887
